ryszard.kapuscinski@gazetapolska.pl;Klub Gazety Polskiej - Sydney II
panboss@hotmail.com;Klub KarpatczykÛw w Hobart
whiteeagleclub.act@gmail.com;Klub Or≥a Bia≥ego w Turner ACT
albionpolclub@gmail.com?;Klub pi≥ki noønej "Western Eagles SC" (dawniej "KS Polonia")
office@cracoviaclub.com.au;Klub Polski "Cracovia" w Beechboro
office@cracoviaclub.com.au;Klub Polski "Cracoviaî
info@polishclubsikorski.com;Klub Polski im. gen. Sikorskiego
polishclubltd@optusnet.com.au;Klub Polski w Ashfield
bankstownpolishclub@bigpond.com;Klub Polski w Bankstown
polish.association.hobart@gmail.com;Klub Polski w Hobart
zsotargowisko@op.pl;Klub Polskiej M≥odzieøy "Iskraî
polish.association.hobart@gmail.com;Klub Seniora Clovelly Park
polish.association.hobart@gmail.com;Klub Seniora Kombatant w Adelaide
sekretariatzpm@hotmail.com;Klub Seniora Millennium w Enfield
school@polishschool.org.au;Klub Seniora przy Domu Kopernika w Grand Junction
polish.association.hobart@gmail.com.;Klub Seniora przy Klubie im. Gen. W≥adys≥awa Sikorskiego
polish.association.hobart@gmail.com;Klub SeniorÛw w Hobart
biuro@kslechia.pl;Klub SiatkÛwki "Lechia"
marianjanczak@yahoo.com.au;Ko≥o AkademikÛw Polskich w Nowej Po≥udniowej Walii
barbarak@hht.net.au;Ko≥o AkademikÛw Polskich w Sydney
info@polish-spk-foundation.org.au;Ko≥o Armii Krajowej w Lakemba NSW
info@polish-spk-foundation.org.au;Ko≥o By≥ych Øo≥nierzy Armii Krajowej w Perth
reception@polishfederation.org.au;Ko≥o Polek w Adelaide
iglinski@optusnet.com.au;Ko≥o Polek w Ashfield
dompolskicentre@gmail.com;Centralny Dom Polski w Adelaide
iglinski@optusnet.com.au;Ko≥o Polek w Cabramatta
iglinski@optusnet.com.au;Ko≥o Polek w Canberze
secretary@polishassociationnewcastle.org.au;Ko≥o Polek w Newcastle
hszunejko@bigpond.com;Komisja Oúwiatowa Polonii Australijskiej (KOPA)
mtkosciuszko@wp.pl;Mount Koúciuszko Inc
everth@netspace.net.au;Muzeum i Archiwum Polonii Australijskiej (MAPA)
irena@sosnowski.com.au;Muzeum Polskie w Hill River w Po≥udniowej Australii
azimuth@mail.com;Oúrodek Polski im. Jana Paw≥a II w Ardeer
executive@pccv.org.au;OzPol Community Care Association Inc.
perthidni@yahoo.com.au;Perthidni - Perth Polish Parents&Party Group
reception@polishfederation.org.au;Pierwszy Klub Seniora w Australii Zachodniej
jkortynski@hotmail.com;Polish Australian Fencing Club
referrals@pawacc.org.au;Polish Australian Welfare Association (PAWA)
andrew.siedlecki@mq.edu.au;Polish Studies at Macquarie Uniwersity - Sydney
polishwelfare_hobart@bigpond.com.au;Polish Welfare Office
jglac@optusnet.com.au;Polska Fundacja Artystyczna
jjmccool1@hotmail.com;Polska Grupa Motocyklowa "Bracia Øelaznego Or≥a"
pih@pih.org.pl;Polska Izba Handlowa
polisheducsociety@hotmail.com;Polska Macierz Szkolna Po≥udniowej  Australii
macierz@polisheducation.org.au;Polska Macierz Szkolna w Nowej Po≥udniowej Walii
marysia.nowak@bigpond.com;Polska Macierz Szkolna w Zachodniej Australii
slowik@optusnet.com.au;Polska Misja Katolicka w Australii
zsorudnik@wp.pl?;Polska Szko≥a im. Arcybiskupa JÛzefa Gawliny
polish.school.albion@tpg.com.au;Polska Szko≥a PrzedmiotÛw Ojczystych w Phillip
northshore@polisheducation.org.au;Polska Szko≥a Sobotnia Dzielnic PÛ≥nocnych
marysia.nowak@bigpond.com;Polska Szko≥a Sobotnia im. Adama Mickiewicza w Perth
contact@polska-szkola.com.au;Polska Szko≥a Sobotnia im. Marii Konopnickiej w Essendon
polish.school.albion@tpg.com.au;Polska Szko≥a Sobotnia im. Miko≥aja Kopernika w St. Albans
polish.school.albion@tpg.com.au;Polska Szko≥a Sobotnia Podstawowa i årednia im. Jana Paw≥a II w Albion
magda.miotlinska@gmail.com;Polska Szko≥a Sobotnia w Ashfield
pwskleks@gmail.com;Polska Szko≥a Sobotnia w Bankstown
contact@polska-szkola.com.au;Polska Szko≥a Sobotnia w Bowen Hills im. Kasjana Wolaka
marayong@polisheducation.org.au;Polska Szko≥a Sobotnia w Marayong
szkola@nepco.org.uk;Polska Szko≥a Sobotnia w Newcastle
polishschoolliverpool@gmail.com;Polska Szko≥a w Liverpool
school@polishschool.org.au;Polska Szko≥a w Randwick
school@polishschool.org.au;Polska Szko≥a w Sydney
kurierzachodni@kurier.iinet.net.au;PolskaAustralia.com - Portal internetowy
skippyziggy@hotmail.com;Polski Centralny Oúrodek Sportowo-Rekreacyjny w Albion
wwhorky@gmail.com;Polski Instytut Historyczny w Weston
kronikapolonii@hotmail.com;Polski Klub "Orze≥ Bia≥y" w Canberze
polish.association.hobart@gmail.com;Polski Klub Seniora Astry w St. Kilda
polishschoolcanberra@gmail.com;Polski Klub Seniora w Australijskim terytorium Sto≥ecznym
iglinski@optusnet.com.au;Polski Klub Seniora w Cabramatta
polish.association.hobart@gmail.com;Polski Klub Seniora w Caufield
polish.association.hobart@gmail.com;Polski Klub Seniora w Footscray
polish.association.hobart@gmail.com;Polski Klub Seniora w Frankston
bankstownpolishclub@bigpond.com;Polski Klub Seniora w Geelong
association.hobart@gmail.com.;Polski Klub Seniora w Glenroy
association.hobart@gmail.com;Polski Klub Seniora w Melbourne
association.hobart@gmail.com.;Polski Klub Seniora w Reservoir
iglinski@optusnet.com.au;Polski Klub Seniora w Rowville
polish.association.hobart@gmail.com;Polski Klub Seniora w Werribee
polana@email.com;Polski Oúrodek M≥odzieøowy "Polana"
blacek@optusnet.com.au;Polski Zwiπzek Kulturalny w Nowej Po≥udniowej Walii
blacek@optusnet.com.au;Polski Zwiπzek Kulturalny w Nowej Po≥udniowej Walii
henryk62@iinet.net.au†;Polskie Centrum Katolickie im. Jana Paw≥a II w Narrabundah
panboss@hotmail.com;Polskie radio 7 The FM 92.1&96.1 MHz
radio@kurier.iinet.net.au;Polskie Radio Kurier (na 6 EBA FM 95.3)
contact@newsmag.com;Polskie Radio Sydney (radio internetowe)
info@poloniaillinois.com;Polskie Towarzystwo Historyczne w Australii
biuro@australink.pl;Polskie Towarzystwo Kulturalne w Australii Po≥udniowej
jglac@optusnet.com.au;Polskie Towarzystwo Kulturalne w Nowej Po≥udniowej Walii
jolantahowe@bigpond.com;Polskie Towarzystwo Muzyczne im. F. Chopina
info@acci.asn.au;Polsko-Australijska Izba Przemys≥owo Handlowa
radio@kurier.iinet.net.au;Polsko-Australijskie Towarzystwo Kulturalne
ewa.kwiecinska@interia.eu;Polsko-Australijskie Towarzystwo Pomocy Dzieciom Uzdolnionym
radio@kurier.iinet.net.au;Polsko-Australijskie Towarzystwo w Australii Zachodniej
biuro@australink.pl;Portal internetowy Australink
redakcja@pulspolonii.com.;Portal internetowy Puls Polonii
izabella.zielinska@powiernictwo.com;Rada Koordynacyjna Polskich Organizacji w Zachodniej Australii
president@polishcouncil.org.au;Rada Naczelna Polonii Australijskiej i Nowozelandzkiej
jglac@optusnet.com.au;Rada Organizacji Polskich na Australijskie Terytorium Sto≥eczne
marta.kiec-gubala@msz.gov.pl;Radio 2NUR FM 103.7 MHz
info@4eb.org.au;Radio 4EB FM 98.1 MHz
ebiradio@5ebi.com.au;Radio 5EBI FM 103.1 MHz
biuro@australink.pl;Radio Adelaide FM 101.5 MHz
info@coastfm.com.au;Radio Coast FM 88.5 MHz
radio@glosnadziei.pl;Radio G≥os Nadziei
manager@6eba.com.au;Radio G≥os Polonii
pbafm@pbafm.org.au;Radio Polonia PBA FM 89.7 MHz
office@favoryta.com;Sekcja Polska Radia SBS
contact@polska-szkola.com.au;Sobotnia Szko≥a Polska w Capalabie
reception@polishfederation.org.au;Spo≥eczny Fundusz Kulturalny w Po≥udniowej Australii
reception@polishfederation.org.au;Stowarzyszenie AbsolwentÛw i StudentÛw Polskich
czarnot@www.nsw.gov.au;Stowarzyszenie Australijskich PolakÛw "Auspol"
reception@polishfederation.org.au;Stowarzyszenie GÛrali Polskich w Po≥udniowej Australii
info@polish-spk-foundation.org.au;Stowarzyszenie LotnikÛw Polskich w Wiktorii
nasza_polonia@yahoo.com;Stowarzyszenie Nasza Polonia
school@polishschool.org.au;Stowarzyszenie PolakÛw w Ballart
admin@ocva.org.uk;Stowarzyszenie PolakÛw w Bunbury
whiteeagle1@bigpond.com;Stowarzyszenie PolakÛw w Geelong
skippyziggy@hotmail.com;Stowarzyszenie PolakÛw w Glenroy
president@polonia.org.au;Stowarzyszenie PolakÛw w Quensland "Poloniaî
iglinski@optusnet.com.au;Stowarzyszenie PolakÛw w Townsville
iglinski@optusnet.com.au;Stowarzyszenie PolakÛw Wschodnich Dzielnic Melbourne
miriam@australianpolish.org;Stowarzyszenie Polek w Nowej Po≥udniowej Walii
	info@polish-spk-foundation.org.au;Stowarzyszenie Polskich KombatantÛw w Australii
sppa.sekretarz@gmail.com;Stowarzyszenie Polskich ProfesjonalistÛw w Australii
fedpolsa@polishfederation.org.au;Stowarzyszenie Polskie na Terytorium PÛ≥nocnym
joanna@new.co.za;Stowarzyszenie TechnikÛw Polskich w New Town
reception@polishfederation.org.au;Szko≥a Polska im. Tadeusza Koúciuszki w Morphett Vale
suru@teatrfantazja.org;Teatr Fantazja w Roselands
maw4@hotmail.com;Teatr Ottoway w Athol Park SA
mro38@optusnet.com.au;Teatr PrÛb Miniatura im. Jerzego Szaniawskiego
smikolajski@hotmail.com;Teatr Scena`98
office@qjfpl.org;The Queen Jadwiga Foundation
music@sydneyconsort.com.au;The Sydney Consort (ZespÛ≥ muzyki dawnej)
polishweek@optusnet.com.au;The Sydney Polish Lanquaqe Meetup Group
SChrProv@tchr.org;Towarzystwo Chrystusowe dla Polonii Zagranicznej w Australii
info@chopin.pl†;Towarzystwo im. Fryderyka Chopina w Wiktorii
kronikapolonii@hotmail.com;Towarzystwo Sztuk PiÍknych w Canberze
pl2000fm@yahoo.com;Twoje Radio 2000 FM98.5 MHz
jp2sydney@hotmail.com;ZespÛ≥ Muzyczny im. Jana Paw≥a II
wieslaw@arach.net.au;ZespÛ≥ Piesni i TaÒca Kuku≥eczka
urszula.lang@lajkonik.com.au;ZespÛ≥ Piesni i TaÒca Lajkonik
sekretariat@wok-hutnik.pl;ZespÛ≥ Piesni i TaÒca Oberek
daniel@podhale.org.au;ZespÛ≥ Piesni i TaÒca Podhale
martyna.anna.kalkowska@gmail.com;ZespÛ≥ Piesni i TaÒca Wielkopolska
whiteeagle1@bigpond.com;ZespÛ≥ Pieúni i TaÒca Krakowiak
jola@kujawysydney.com;ZespÛ≥ Pieúni i TaÒca Kujawy
info@lowiczmelbourne.org.au;ZespÛ≥ Pieúni i TaÒca £owicz
bczech@optusnet.com.au;ZespÛ≥ Pieúni i TaÒca Polonez
info@polonez.org.au;ZespÛ≥ Pieúni i TaÒca Promyk
misjonarki@mchr.pl;Zgromadzenie SiÛstr Misjonarek Chrystusa KrÛla dla Polonii Zagranicznej (Misjonarki Chrystusa KrÛla) w Australii
info@polish-spk-foundation.org.au;Zjednoczenie KÛ≥ Polek w Australii
canberra.amb.sekretariat@msz.gov.au;Zwiπzek Dziennikarzy R.P ñ Syndykat Australia
info@polish-spk-foundation.org.au;Zwiπzek Harcerstwa Polskiego w Australii
liebknecht-gymnasium@web.de;Zwiπzek Nauczycieli JÍzyka Polskiego
iglinski@optusnet.com.au;Zwiπzek PolakÛw w Ashfield
	ServiceCentre@education.tas.gov.au;Zwiπzek PolakÛw w Hobart
rada@polish.org.au;Zwiπzek Polski w Nowej Po≥udniowej Walii
wawel.wollongong@gmail.com;Zwiπzek Polski w Wollongong
biuro@kombatantpolski.pl;Zwiπzek Polskich WiÍüniÛw Politycznych
ambpol@clover.com.au;Zwiπzek Wolnych PolakÛw w Australii SolidarnoúÊ
office@austriapol.com;"Austriapol" Magazyn Dialogu Miedzykulturowego (Portal internetowy)
redakcja.elipsa@op.pl;"Elipsa.at"  Internetowy serwis informacyjny
office@polonia-nova.com;"I love Polen" Oficjalna strona internetowa austriackiej Polonii
kpi@chello.at;"Jupiter" Magazyn Kulturalno-Informacyjny
polnischekirchewien@gmail.com;"Nasza WspÛlnotaî
polonika@chello.at;"Polonikaî
office@polonia-nova.com;"Øongler Polonia Nova" Magazyn Polsko-Austriacki
info@polonez.at†;Austriacko-Polskie Stowarzyszenie dla Popierania Sztuki i Czasu Wolnego "Polonezî
office@ipolen.at;Austriacko-Polskie Stowarzyszenie Kulturalno-Informacyjne "ipolen"
office@viennapan.org;Biblioteka Polskiej Akademii Nauk - Stacji Naukowej w Wiedniu
ce@cameratapolonia.at;"Camerata Polonia" 
info@ibz-polonia.eu;Centrum Informacyjo-Doradcze IBZ Polonia (Polonia - Informations- und Beratungszentrum)
office@polonia-nova.com;Centrum Kulturalne "I love Polen"
sitpf@wandoo.fr;Europejska Federacja Polonijnych StowarzyszeÒ Naukowo-Technicznych (SITPF)
office@forumpolonii.at;Forum Polonii w Austrii (WspÛlnota Polskich Organizacji w Austrii)
office@ipolen.at;iPolen.at ñ Forum i Portal Polonii w Austrii
'kabaret@kabaret-e.at;';Kabaret "E"
info@magnat.at;Klub "Polski Klubî w Austrii
KlubGP.Wieden@gmail.com;Klub Gazety Polskiej - WiedeÒ
kgp_wieden_2@hotmail.com;Klub Gazety Polskiej - WiedeÒ II
jupiter.red@chello.at;Klub Inteligecji Polskiej w Wiedniu
office@viennapan.org;Klub ProfesorÛw przy Polskiej Akademii Nauk ñ Stacji Naukowej w Wiedniu
klub.sobieski@aon.at†;Klub Sobieski (Polnisch-÷sterreichischer Kultur- und Freizeitverein in K‰rnten)
ipw@magnet.at;Klub StudentÛw Polskich "Plusî
kpi@chello.at;Kongres Polonii w Austrii
ce@cameratapolonia.at;Pierwsza Spo≥eczna Szko≥a Polska w Austrii
polnischekirchewien@gmail.com;Polska Misja Katolicka w Austrii
polnischekirchewien@gmail.com;Polska Parafia Podwyøszenia Krzyøa åwiÍtego (ZmartwychwstaÒcy)
wien@pot.gov.pl;Polski Oúrodek Informacji Turystycznej w Austrii
sekretariat@sutw.pl;Polski Uniwersytet Trzeciego Wieku w Austrii
szkola@uczymypolskiego.at;Polskie Stowarzyszenie Kulturalno-Oúwiatowe w Austrii
office@forumpolonii.at;Polskie Towarzystwo Gimnastyczne "SokÛ≥ Polskiî w Austrii
kjm@aon.at;Polskie Towarzystwo Medyczne w Austrii
dyrektor@szkolapolska.org;Polskie Towarzystwo Sportowe w Austrii
ipw@magnet.at;Polsko-Austriacki Klub Informacji i Kultury "SierpieÒ 80î
kontakt@polonia-salzburg.com;Polsko-Austriackie Stowarzyszenie "Salzburgî
redakcja.elipsa@op.pl;Polsko-Austriackie Stowarzyszenie Informacyjno Integracyjne "Elipsa.at"
office@taktkultur.at;Polsko-Austriackie Towarzystwo Kulturalne "Takt"
piotrradowski@gmx.at;Rada Koordynacyjna Polskich Organizacji Niepodleg≥oúciowych w Austrii
post@ma07.wien.gv.at;Sobieski.at Fˆrderverein f¸r alternative Kunst und Kultur
office@viennapan.org;Stacja Naukowa Polskiej Akademii Nauk w Wiedniu
polster.wien@gmail.com;Stowarzyszenie Kulturalne "Pol-Ster"
polonia.tirol@ikbnet.at;Stowarzyszenie Polonii w Tyrolu
office.vpi@vpivienna.org;Stowarzyszenie Polskich InøynierÛw i TechnikÛw w Austrii
polnischekirchewien@gmail.com;Stowarzyszenie Polskich Rodzin Katolickich w Austrii (SPRKwA)
piotrradowski@gmx.at;Stowarzyszenie Polskiej Kultury (SPK) w Austrii
office@pomoc.or.at;Stowarzyszenie "Pomoc"- Porady i úwiadczenia od A do Z
piotrradowski@gmx.at;Stowarzyszenie StudentÛw Polskich w Austrii "Impuls"
ipw@magnet.at;Towarzystwo Lekarzy Polskich w Austrii
info@wiener-krakauer.at;WiedeÒsko-Krakowskie Towarzystwo Kulturalne
office@poloniaoberoesterreich.com;WspÛlnota PolakÛw w GÛrnej Austrii
misje@scj.pl;Zgromadzenie KsiÍøy NajúwiÍtszego Serca Jezusowego (Sercanie) w Austrii
biuro@zwiazek-podhalan.com;Zwiπzek Podhalan "Zakopane"
strzecha@chello.at;Zwiπzek PolakÛw w Austrii "Strzechaî
polonialinz@aon.at;Zwiπzek PolakÛw w GÛrnej Austrii
bakslavuniver@hotmail.com;Centrum JÍzyka i Kultury Polskiej (CJKP) na BakiÒskim Uniwersytecie S≥owiaÒskim
azerpolonia@op.pl;Polonia Azerbejdøan WspÛlnota Polska
azerpolonia@op.pl;Rzymskokatolickie Towarzystwo Dobroczynnoúci i Katolicka WspÛlnota Polska w Baku
biuro@sekretariat-misyjny.pl;Stowarzyszenie Apostolstwa Katolickiego (Pallotyni) na Barbados
antwerpiapopolsku@gmail.com;"Antwerpia po polsku"
info@antwerpiapolska.be;"Antwerpia Polska" Portal polonijny
info@gazetka.be;"Gazetka"
LeokadiaK@yahoo.fr;"Listy z dalekaî
pmkbruksela@gmail.com;"Nasza WspÛlnotaî Biuletyn Polskiej Misji Katolickiej
'info@nowinki.pl
';"Nowinki"
murbanska@hotmail.com;"Polak w Belgiiî Biuletyn
info@polonia.be;"Polonia.be" Portal Polonii Belgijskiej
redakcja@poloniabelgijska.be;"PoloniaBelgijska.be" Niezaleøny Portal Polonijny
nordica@telenet.be;"PoloniaNet"
ptaszynski.translations@skynet.be;Belgijski Zwiπzek KombatantÛw
info@bepolux.be;Bepolux ñ Belgijsko-Luksembursko-Polska Izba Handlowa
bibl.pl.bxl@gmail.com;Biblioteka Polska w Brukseli
zbigniew.opyd@gmail.com.;Biblioteka przy Polskiej Misji Katolickiej w Brukseli
dorota_dobrzynska@hotmail.com;Bractwo Øywego RÛøaÒca w Antwerpii
architektura@bekap.be.;Brukselski Klub Polek
limosa@eranova.fgov.be;'Centrum BadaÒ Historycznych im. J. Lelewela (Centre International Lelewel d''Ètudes et d''informations historiques)'
balcerzakl@belgacom.net;Centrum Edukacji i Kultury Polskiej "MaGaDom" w Brukseli
centrumpolskie@gmail.com;Centrum Polskie im. Ignacego Jana Paderewskiego w Brukseli
centrumantwarpia@gmail.com;Centrum Pomocy Prawnej i Øyciowej dla Polonii
postviadrina@postviadrina.be;Centrum Wschodnioeuropejskie "Post Viadrina" w Gandawie
info@bekap.be;ChrzeúcijaÒskie Zjednoczenie PolakÛw  w Brukselia
info@centrumpolskie.com;Dom Polski "Milleniumî w Heusden-Zolder
info@centrumpolskie.com;Dom Polski "Polonez" w Beringen
bruksela@ewspa.edu.pl;Dom Polski w Brukseli
dom_polski1@op.pl;Dom Polskiego Zwiπzku Kulturalnego w Genk
fo@fundacjapoloniainternational.org;Fundacja Polonia International
dorota_dobrzynska@hotmail.com;Instytut BadaÒ Polonijnych w OkrÍgu Centre
zarzad@ksm.lublin.pl;Katolickie Stowarzyszenie M≥odzieøy Polskiej
ptaszynski.translations@skynet.be;Ko≥o Belgijsko-Polskie w Retinne
dorota_dobrzynska@hotmail.com;Ko≥o Belgijsko-Polskie w Willebroek
bvpo1978@gmail.com;Ko≥o By≥ych Øo≥nierzy Armii Krajowej w Belgii
ptaszynski.translations@skynet.be;Ko≥o Kulturalne Belgijsko-Polskie w La Louvi?re
ptaszynski.translations@skynet.be;Ko≥o Kulturalne Belgijsko-Polskie Regionu Centrum
ccbelpol@skynet.be;Ko≥o Kulturalne Belgijsko-Polskie w Charleroi
info@network-pl.org;Ko≥o M≥odzieøy Polskiej przy Parafii Rzymsko-Katolickiej w Antwerpii
nakaszuby@gmail.com;Ko≥o PrzyjaciÛ≥ Polskiego Lotnictwa
virtualiaart@gmail.com;Miedzynarodowe Stowarzyszenie ArtystÛw AutorÛw Dziennikarzy PrawnikÛw Virtualia ART
info@nowinki.be;Nowinki VZW
bvpo1978@hotmail.com;OgÛlnoúwiatowy Korespondencyjny Klub EmigrantÛw
info@network-pl.org;Oúrodek Polsko-Katolicki w Marcinelle
info@network-pl.org;Polish Expat Network Belgium
info@jasnawoda.be;Polonijny ZespÛ≥ Folklorystyczny "Krakus" w Genk
nfo@pmsz.be;Polska Macierz Szkolna w Belgii
misja@pmkbruksela.com;Polska Misja Katolicka w Antwerpii
zbigniew.opyd@gmail.com;Polska Misja Katolicka w Brugge
pmkbruksela@gmail.com;Polska Misja Katolicka w Brukseli (Rue Jourdan)
zbigniew.opyd@gmail.com;Polska Misja Katolicka p.w. úw. Maksymiliana Marii Kolbego w Centre-Ressaix
kaszyca-jerzy@wp.pl,;Polska Misja Katolicka w Genk
zbigniew.opyd@gmail.com;Polska Misja Katolicka w Leopoldsburg
zbigniew.opyd@gmail.com;Polska Misja Katolicka w Li?ge
zbigniew.opyd@gmail.com;Polska Misja Katolicka w Maasmechelen
info@Polonia.be;Polska Misja Katolicka w Namur
spk.antwerpia@gmail.com;Polski Cmentarz Wojskowy w Lommel
info@centrumpolskie.be;Polski Dom Kultury im. M. Kopernika w Genk-Zwartberg
admin@polska-azja.pl;Polski Instytut Nauki i Kultury
olimpijski@pkol.pl;Polski Komitet Olimpijski w Belgii
pot@pot.gov.pl;Polski Oúrodek Informacji Turystycznej w Belgii
ptaszynski.translations@skynet.be;Polski Oúrodek Kulturalno-Oúwiatowy OkrÍg Mons
ogui2004@yahoo.fr;Polski Oúrodek Wakacyjny "Millennium" (Centrum Wakacyjnym Polskiej Macierzy Szkolnej) w Comblain-la-Tour
polambbod@skynet.be;Polski Zwiπzek Kulturalny w Genk
ladomirscy-bxl@wp.pl;Polsko-Belgijskie Stowarzyszenie T≥umaczy I FilologÛw
dorota_dobrzynska@hotmail.com;Poolse  Gemeenschap Polonia VZW
ptaszynski.translations@skynet.be;Rada Imigracyjna w Amay - Sekcja Polska
rada.polonii@polonia.be;Rada Polonii Belgijskiej
leszeg@yahoo.fr;Radio RÛøa BXL
